Number of observations,Int_rate,Int_rate_lag
1,0.24285,0.23985
2,0.23985,0.23935
3,0.23935,0.2421
4,0.2421,0.2404
5,0.2404,0.24165
6,0.24165,0.24165
7,0.24165,0.2389
8,0.2389,0.23675
9,0.23675,0.23785
10,0.23785,0.23635
11,0.23635,0.2366
12,0.2366,0.2371
13,0.2371,0.2366
14,0.2366,0.2371
15,0.2371,0.2386
16,0.2386,0.23535
17,0.23535,0.2361
18,0.2361,0.2361
19,0.2361,0.2356
20,0.2356,0.2376
21,0.2376,0.2366
22,0.2366,0.2356
23,0.2356,0.23645
24,0.23645,0.23635
25,0.23635,0.23685
26,0.23685,0.23385
27,0.23385,0.23385
28,0.23385,0.2366
29,0.2366,0.2361
30,0.2361,0.23585
31,0.23585,0.23585
32,0.23585,0.2351
33,0.2351,0.23455
34,0.23455,0.2336
35,0.2336,0.2356
36,0.2356,0.23485
37,0.23485,0.23435
38,0.23435,0.2336
39,0.2336,0.2333
40,0.2333,0.2361
41,0.2361,0.23565
42,0.23565,0.23565
43,0.23565,0.23535
44,0.23535,0.2344
45,0.2344,0.2351
46,0.2351,0.23565
47,0.23565,0.23435
48,0.23435,0.2333
49,0.2333,0.2341
50,0.2341,0.23335
51,0.23335,0.23485
52,0.23485,0.23445
53,0.23445,0.23485
54,0.23485,0.23385
55,0.23385,0.2336
56,0.2336,0.23285
57,0.23285,0.2351
58,0.2351,0.23435
59,0.23435,0.23335
60,0.23335,0.2336
61,0.2336,0.23335
62,0.23335,0.2306
63,0.2306,0.2281
64,0.2281,0.2301
65,0.2301,0.23035
66,0.23035,0.2296
67,0.2296,0.22935
68,0.22935,0.2273
69,0.2273,0.22755
70,0.22755,0.22705
71,0.22705,0.22645
72,0.22645,0.22865
73,0.22865,0.22635
74,0.22635,0.22785
75,0.22785,0.22585
76,0.22585,0.2286
77,0.2286,0.22875
78,0.22875,0.22785
79,0.22785,0.2266
80,0.2266,0.22485
81,0.22485,0.22535
82,0.22535,0.22335
83,0.22335,0.22285
84,0.22285,0.22285
85,0.22285,0.22485
86,0.22485,0.22395
87,0.22395,0.22335
88,0.22335,0.2241
89,0.2241,0.2251
90,0.2251,0.22385
91,0.22385,0.22535
92,0.22535,0.22585
93,0.22585,0.2286
94,0.2286,0.22695
95,0.22695,0.2281
96,0.2281,0.22735
97,0.22735,0.22715
98,0.22715,0.22935
99,0.22935,0.22985
100,0.22985,0.2276
101,0.2276,0.22735
102,0.22735,0.2274
103,0.2274,0.22715
104,0.22715,0.2274
105,0.2274,0.2295
106,0.2295,0.2306
107,0.2306,0.2296
108,0.2296,0.23055
109,0.23055,0.2303
110,0.2303,0.2298
111,0.2298,0.2306
112,0.2306,0.2321
113,0.2321,0.2306
114,0.2306,0.231
115,0.231,0.231
116,0.231,0.2296
117,0.2296,0.2306
118,0.2306,0.2326
119,0.2326,0.2336
120,0.2336,0.23385
121,0.23385,0.2341
122,0.2341,0.2346
123,0.2346,0.2307
124,0.2307,0.2318
125,0.2318,0.2346
126,0.2346,0.2321
127,0.2321,0.2331
128,0.2331,0.2341
129,0.2341,0.2336
130,0.2336,0.2341
131,0.2341,0.2336
132,0.2336,0.2336
133,0.2336,0.2326
134,0.2326,0.2331
135,0.2331,0.2336
136,0.2336,0.2336
